tick,servidor,tipo,mensagem,timestamp
0,Server-A,INFO,"Criados 500 atendentes (Suporte: 259, Vendas: 241)",1765574672.2067962
0,Server-B,INFO,"Criados 700 atendentes (Suporte: 331, Vendas: 369)",1765574672.243763
0,Server-C,INFO,"Criados 1000 atendentes (Suporte: 486, Vendas: 514)",1765574672.243763
0,Server-A,INICIO,Servidor iniciado com PID 7560,1765574673.6406887
6,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0087 (vendas) FALHOU,1765574673.7133584
6,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0000 ENTROU substituindo Server-A-VEN0087,1765574673.7133584
11,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0237 (suporte) FALHOU,1765574673.7710657
11,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0001 ENTROU substituindo Server-A-SUP0237,1765574673.7710657
14,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0217 (vendas) FALHOU,1765574673.805492
14,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0002 ENTROU substituindo Server-A-VEN0217,1765574673.805492
15,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0281 (vendas) FALHOU,1765574673.8170297
15,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0003 ENTROU substituindo Server-A-VEN0281,1765574673.8170297
15,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0368 (vendas) FALHOU,1765574673.8170297
15,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0004 ENTROU substituindo Server-A-VEN0368,1765574673.8170297
22,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0374 (suporte) FALHOU,1765574673.8966177
22,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0005 ENTROU substituindo Server-A-SUP0374,1765574673.8966177
25,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0042 (vendas) FALHOU,1765574673.9303093
25,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0006 ENTROU substituindo Server-A-VEN0042,1765574673.9303093
26,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0171 (suporte) FALHOU,1765574673.9413133
26,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0007 ENTROU substituindo Server-A-SUP0171,1765574673.9413133
28,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0167 (vendas) FALHOU,1765574673.9636865
28,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0008 ENTROU substituindo Server-A-VEN0167,1765574673.9636865
30,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0191 (vendas) FALHOU,1765574673.9860532
30,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0009 ENTROU substituindo Server-A-VEN0191,1765574673.9860532
32,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0084 (suporte) FALHOU,1765574674.0083525
32,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0010 ENTROU substituindo Server-A-SUP0084,1765574674.0083525
32,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0007 (vendas) FALHOU,1765574674.0083525
32,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0011 ENTROU substituindo Server-A-VEN0007,1765574674.0083525
35,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0194 (vendas) FALHOU,1765574674.0423853
35,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0012 ENTROU substituindo Server-A-VEN0194,1765574674.0423853
36,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0095 (suporte) FALHOU,1765574674.0541005
36,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0013 ENTROU substituindo Server-A-SUP0095,1765574674.0541005
37,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0179 (vendas) FALHOU,1765574674.0658429
37,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0014 ENTROU substituindo Server-A-VEN0179,1765574674.0658429
41,Server-A,FALHA_ATENDENTE,Atendente Server-A-SUP0018 (suporte) FALHOU,1765574674.1115832
41,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0015 ENTROU substituindo Server-A-SUP0018,1765574674.1115832
56,Server-A,FALHA_SERVIDOR,FALHA ALEATÓRIA no tick 56,1765574674.280537
56,Server-A,FAILOVER,Iniciando failover de 0 requisições,1765574674.280537
75,Server-A,RECUPERACAO,Servidor RECUPERADO no tick 75,1765574674.312888
76,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0384 (vendas) FALHOU,1765574674.3143818
76,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0016 ENTROU substituindo Server-A-VEN0384,1765574674.3143818
82,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0029 (vendas) FALHOU,1765574674.3827507
82,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-VEN0017 ENTROU substituindo Server-A-VEN0029,1765574674.3827507
83,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0067 (vendas) FALHOU,1765574674.394209
83,Server-A,ENTRADA_ATENDENTE,Atendente Server-A-RESERVA-SUP0018 ENTROU substituindo Server-A-VEN0067,1765574674.394209
83,Server-A,FALHA_ATENDENTE,Atendente Server-A-VEN0276 (vendas) FALHOU,1765574674.394209
