tick,servidor,eventos
0,Server-A,2
0,Server-B,2
0,Server-C,2
1,Server-B,2
1,Server-C,2
2,Server-B,2
3,Server-B,2
3,Server-C,2
4,Server-C,2
5,Server-B,2
5,Server-C,8
6,Server-A,2
6,Server-C,2
9,Server-B,2
10,Server-B,2
10,Server-C,2
11,Server-A,2
11,Server-B,2
11,Server-C,2
13,Server-B,2
13,Server-C,2
14,Server-A,2
14,Server-B,4
14,Server-C,2
15,Server-A,4
15,Server-C,2
16,Server-B,4
17,Server-C,2
18,Server-B,2
18,Server-C,4
19,Server-B,2
19,Server-C,6
20,Server-B,6
21,Server-B,4
21,Server-C,2
22,Server-A,2
22,Server-B,2
22,Server-C,2
24,Server-B,4
24,Server-C,4
25,Server-A,2
25,Server-B,2
25,Server-C,6
26,Server-A,2
26,Server-C,2
28,Server-A,2
28,Server-B,2
29,Server-C,2
30,Server-A,2
30,Server-B,2
31,Server-B,4
32,Server-A,4
34,Server-B,2
35,Server-A,2
35,Server-B,2
36,Server-A,2
37,Server-A,2
37,Server-B,4
38,Server-B,2
41,Server-A,2
42,Server-B,6
47,Server-B,2
48,Server-C,1
49,Server-B,2
49,Server-C,2
50,Server-B,2
50,Server-C,2
51,Server-B,4
51,Server-C,2
52,Server-B,2
52,Server-C,4
53,Server-C,6
54,Server-B,2
54,Server-C,2
55,Server-C,2
56,Server-A,2
56,Server-B,2
58,Server-C,4
59,Server-B,2
60,Server-B,6
60,Server-C,2
61,Server-B,6
61,Server-C,4
62,Server-C,6
63,Server-C,2
64,Server-B,2
64,Server-C,2
65,Server-B,4
65,Server-C,2
66,Server-C,4
67,Server-B,2
70,Server-B,4
71,Server-B,2
72,Server-C,4
73,Server-C,2
74,Server-C,2
75,Server-A,1
75,Server-C,14
76,Server-A,2
77,Server-B,2
77,Server-C,4
78,Server-B,2
79,Server-C,2
81,Server-C,2
82,Server-A,2
83,Server-A,4
83,Server-B,6
84,Server-B,2
84,Server-C,2
85,Server-B,2
86,Server-B,2
87,Server-A,2
87,Server-B,2
87,Server-C,2
88,Server-A,4
88,Server-B,2
89,Server-B,2
90,Server-C,2
93,Server-B,2
94,Server-C,2
95,Server-A,4
95,Server-B,2
95,Server-C,2
96,Server-C,4
97,Server-B,4
97,Server-C,2
98,Server-A,2
98,Server-C,2
99,Server-A,2
99,Server-C,2
100,Server-B,2
101,Server-A,4
101,Server-B,2
101,Server-C,4
102,Server-B,6
102,Server-C,2
103,Server-B,4
103,Server-C,2
104,Server-A,2
104,Server-C,2
105,Server-A,2
105,Server-B,2
105,Server-C,4
106,Server-A,2
107,Server-B,6
108,Server-C,2
109,Server-A,4
109,Server-B,2
110,Server-A,2
110,Server-B,4
110,Server-C,4
111,Server-C,2
112,Server-A,2
112,Server-B,2
112,Server-C,2
113,Server-A,4
113,Server-C,2
114,Server-B,2
115,Server-C,4
116,Server-C,4
117,Server-A,2
117,Server-B,2
117,Server-C,2
118,Server-A,2
118,Server-B,2
118,Server-C,4
119,Server-A,2
119,Server-C,6
120,Server-C,4
121,Server-A,2
121,Server-C,2
122,Server-B,2
123,Server-C,2
124,Server-A,2
124,Server-B,2
124,Server-C,4
125,Server-B,2
125,Server-C,6
126,Server-B,2
126,Server-C,2
127,Server-B,2
127,Server-C,4
129,Server-B,4
129,Server-C,6
130,Server-B,2
130,Server-C,2
131,Server-C,4
132,Server-A,2
132,Server-B,4
132,Server-C,2
133,Server-C,4
134,Server-C,4
135,Server-A,4
135,Server-C,2
138,Server-B,2
139,Server-A,2
140,Server-B,2
142,Server-B,2
144,Server-A,2
145,Server-A,2
146,Server-A,2
146,Server-B,2
147,Server-B,2
149,Server-A,2
150,Server-B,2
152,Server-B,2
153,Server-B,4
154,Server-C,1
155,Server-A,4
155,Server-C,2
156,Server-B,2
156,Server-C,6
157,Server-A,2
157,Server-C,2
158,Server-B,2
158,Server-C,2
162,Server-C,4
163,Server-A,2
164,Server-A,2
164,Server-C,6
165,Server-C,4
166,Server-A,2
166,Server-C,2
167,Server-C,4
168,Server-C,6
170,Server-A,2
170,Server-C,2
171,Server-A,6
171,Server-C,2
172,Server-C,4
173,Server-C,4
174,Server-C,4
175,Server-A,2
177,Server-A,2
177,Server-B,1
179,Server-C,2
181,Server-A,2
181,Server-C,2
183,Server-A,10
183,Server-B,2
183,Server-C,2
184,Server-C,2
185,Server-B,2
185,Server-C,2
186,Server-A,2
188,Server-B,2
188,Server-C,2
189,Server-B,2
189,Server-C,2
190,Server-A,2
190,Server-B,2
191,Server-C,4
192,Server-A,2
192,Server-B,2
192,Server-C,4
193,Server-C,2
195,Server-A,2
196,Server-A,4
196,Server-C,4
197,Server-A,2
197,Server-B,2
197,Server-C,4
198,Server-C,6
199,Server-C,2
200,Server-A,2
200,Server-B,2
200,Server-C,2
219,Server-A,1
219,Server-B,1
219,Server-C,1
220,Server-C,2
222,Server-B,2
223,Server-B,2
224,Server-C,2
225,Server-B,2
225,Server-C,2
226,Server-A,2
226,Server-B,2
226,Server-C,2
227,Server-B,2
227,Server-C,2
228,Server-A,2
229,Server-B,4
230,Server-A,2
230,Server-B,2
230,Server-C,4
231,Server-A,2
231,Server-C,2
232,Server-A,2
232,Server-B,2
232,Server-C,4
233,Server-B,2
233,Server-C,8
234,Server-B,2
234,Server-C,4
235,Server-B,4
235,Server-C,4
236,Server-A,2
236,Server-B,6
237,Server-C,2
238,Server-B,2
239,Server-B,2
239,Server-C,4
240,Server-C,2
241,Server-A,2
242,Server-B,6
242,Server-C,4
243,Server-A,4
244,Server-B,2
245,Server-A,2
245,Server-B,2
246,Server-B,2
246,Server-C,4
247,Server-B,4
249,Server-A,2
249,Server-B,4
249,Server-C,2
250,Server-A,2
250,Server-C,4
251,Server-B,6
251,Server-C,2
252,Server-A,2
253,Server-A,2
253,Server-B,2
253,Server-C,4
254,Server-C,2
255,Server-C,2
256,Server-B,2
256,Server-C,6
257,Server-A,2
257,Server-B,2
257,Server-C,2
258,Server-A,2
258,Server-C,2
259,Server-A,4
260,Server-B,4
261,Server-A,2
261,Server-B,2
262,Server-B,2
263,Server-C,2
264,Server-B,2
264,Server-C,4
265,Server-C,4
266,Server-C,4
267,Server-B,2
268,Server-C,6
269,Server-A,2
269,Server-C,4
270,Server-B,4
270,Server-C,2
271,Server-B,2
271,Server-C,2
272,Server-B,2
273,Server-A,2
273,Server-B,2
274,Server-B,2
275,Server-A,2
276,Server-A,2
277,Server-B,4
278,Server-A,2
279,Server-A,2
280,Server-A,2
